# TIC_ID  transitProbability 
2.316639010000000000e+08 1.000000000000000000e+00
1.496035240000000000e+08 1.000000000000000000e+00
3.367326160000000000e+08 1.000000000000000000e+00
2.316703970000000000e+08 1.000000000000000000e+00
1.440658720000000000e+08 1.000000000000000000e+00
3.884651500000000000e+07 1.000000000000000000e+00
9.235262000000000000e+07 1.000000000000000000e+00
2.897930760000000000e+08 1.000000000000000000e+00
2.934493500000000000e+07 1.000000000000000000e+00
2.814596700000000000e+08 1.000000000000000000e+00
3.557039130000000000e+08 1.000000000000000000e+00
3.881045250000000000e+08 1.000000000000000000e+00
9.740951900000000000e+07 1.000000000000000000e+00
2.515531000000000000e+07 1.000000000000000000e+00
2.815415550000000000e+08 1.000000000000000000e+00
2.381761100000000000e+08 1.000000000000000000e+00
2.669803200000000000e+08 1.000000000000000000e+00
2.786838440000000000e+08 1.000000000000000000e+00
3.941375920000000000e+08 1.000000000000000000e+00
2.070810580000000000e+08 1.000000000000000000e+00
2.317023970000000000e+08 1.000000000000000000e+00
2.901317780000000000e+08 1.000000000000000000e+00
2.983120800000000000e+07 1.000000000000000000e+00
5.236807600000000000e+07 1.000000000000000000e+00
7.044047000000000000e+07 1.000000000000000000e+00
2.345235990000000000e+08 1.000000000000000000e+00
3.919498800000000000e+08 1.000000000000000000e+00
2.012484110000000000e+08 1.000000000000000000e+00
2.630031760000000000e+08 1.000000000000000000e+00
2.350377610000000000e+08 9.366582162328995764e-06
8.902054900000000000e+07 1.000000000000000000e+00
2.193385570000000000e+08 1.000000000000000000e+00
2.349944740000000000e+08 1.000000000000000000e+00
2.672632530000000000e+08 1.000000000000000000e+00
4.101535530000000000e+08 1.000000000000000000e+00
1.769577960000000000e+08 1.000000000000000000e+00
2.776831300000000000e+08 9.999997615814208984e-01
6.248323700000000000e+07 3.914667293429374695e-03
1.400684250000000000e+08 2.294318052008748055e-03
4.032246720000000000e+08 1.000000000000000000e+00
4.259344110000000000e+08 1.000000000000000000e+00
2.537555300000000000e+07 1.000000000000000000e+00
2.611366790000000000e+08 1.000000000000000000e+00
3.507437140000000000e+08 1.000000000000000000e+00
4.259976550000000000e+08 1.000000000000000000e+00
3.072108300000000000e+08 1.000000000000000000e+00
2.720861590000000000e+08 1.000000000000000000e+00
2.625304070000000000e+08 1.000000000000000000e+00
2.518489410000000000e+08 1.000000000000000000e+00
2.071411310000000000e+08 1.000000000000000000e+00
5.191282900000000000e+07 3.006679905048770252e-10
7.692370700000000000e+07 1.000000000000000000e+00
7.698977300000000000e+07 1.000000000000000000e+00
1.839792620000000000e+08 1.000000000000000000e+00
3.008715450000000000e+08 1.000000000000000000e+00
1.001008270000000000e+08 1.000000000000000000e+00
2.603042960000000000e+08 4.482948861550539732e-04
2.808307340000000000e+08 7.999642548384144902e-08
2.788662110000000000e+08 1.000000000000000000e+00
1.667395200000000000e+08 1.000000000000000000e+00
1.835326090000000000e+08 1.000000000000000000e+00
1.835374520000000000e+08 1.000000000000000000e+00
1.839852500000000000e+08 1.000000000000000000e+00
2.114389250000000000e+08 1.000000000000000000e+00
2.309828850000000000e+08 1.000000000000000000e+00
2.345191920000000000e+08 1.130273247398731491e-15
4.414627360000000000e+08 1.000000000000000000e+00
1.242186200000000000e+07 1.000000000000000000e+00
4.102149860000000000e+08 4.165712539361265954e-07
3.555099140000000000e+08 1.000000000000000000e+00
2.599620540000000000e+08 1.778818342623722515e-10
2.817813750000000000e+08 4.806704964721575379e-06
2.815754270000000000e+08 9.984904527664184570e-01
5.565059000000000000e+07 3.034535666301962920e-06
2.602712030000000000e+08 1.000000000000000000e+00
3.148659620000000000e+08 9.875800013542175293e-01
5.220464500000000000e+07 1.000000000000000000e+00
1.416081980000000000e+08 1.000000000000000000e+00
3.002931970000000000e+08 8.293227553367614746e-01
2.066096300000000000e+08 1.000000000000000000e+00
2.343452880000000000e+08 1.000000000000000000e+00
1.674159650000000000e+08 1.000000000000000000e+00
2.319129350000000000e+08 2.444383824240503600e-07
5.565289600000000000e+07 1.000000000000000000e+00
2.600437230000000000e+08 1.000000000000000000e+00
3.209058300000000000e+07 9.999932050704956055e-01
2.606092050000000000e+08 1.000000000000000000e+00
1.500988600000000000e+08 6.779021769762039185e-02
3.169376700000000000e+08 1.000000000000000000e+00
3.264530340000000000e+08 1.864064397523179650e-04
7.704447100000000000e+07 1.000000000000000000e+00
1.206108330000000000e+08 1.000000000000000000e+00
1.600749390000000000e+08 1.000000000000000000e+00
2.043767370000000000e+08 1.000000000000000000e+00
4.020262090000000000e+08 1.000000000000000000e+00
4.159699080000000000e+08 1.000000000000000000e+00
1.242381500000000000e+07 9.999976158142089844e-01
2.800952540000000000e+08 1.562777511565638378e-11
9.727392000000000000e+06 1.000000000000000000e+00
3.050480870000000000e+08 1.000000000000000000e+00
9.006668000000000000e+06 1.000000000000000000e+00
9.725627000000000000e+06 1.000000000000000000e+00
1.019485690000000000e+08 1.000000000000000000e+00
7.703141400000000000e+07 1.000000000000000000e+00
1.205855790000000000e+08 1.000000000000000000e+00
1.490102080000000000e+08 1.000000000000000000e+00
1.183275500000000000e+08 1.674314489719108678e-06
1.546182480000000000e+08 2.037565536738839000e-05
1.586235310000000000e+08 1.000000000000000000e+00
1.601483850000000000e+08 1.000000000000000000e+00
2.017937810000000000e+08 1.373242923818907002e-07
1.799857150000000000e+08 1.000000000000000000e+00
1.842406830000000000e+08 1.000000000000000000e+00
2.242255410000000000e+08 4.589218879118561745e-04
2.379246010000000000e+08 6.245369440875947475e-04
3.220638100000000000e+08 9.956982135772705078e-01
4.968722200000000000e+07 1.321436457146774046e-06
2.043177100000000000e+08 1.000000000000000000e+00
9.222632700000000000e+07 9.650296568870544434e-01
2.007238690000000000e+08 1.000000000000000000e+00
3.504457710000000000e+08 6.112610455602407455e-03
1.286209900000000000e+07 1.000000000000000000e+00
3.774939600000000000e+07 1.000000000000000000e+00
6.389895700000000000e+07 1.000000000000000000e+00
7.051336100000000000e+07 7.936060137581080198e-05
1.209167060000000000e+08 1.000000000000000000e+00
1.226120910000000000e+08 1.000000000000000000e+00
1.599513110000000000e+08 1.000000000000000000e+00
1.647671750000000000e+08 6.854202132672071457e-03
1.668369200000000000e+08 1.000000000000000000e+00
2.192530080000000000e+08 1.000000000000000000e+00
2.204795650000000000e+08 1.637422014027833939e-03
2.593770170000000000e+08 1.000000000000000000e+00
2.595113570000000000e+08 1.880963736766716465e-06
2.687660530000000000e+08 1.000000000000000000e+00
2.797404410000000000e+08 1.000000000000000000e+00
2.819794810000000000e+08 1.000000000000000000e+00
3.738444720000000000e+08 1.000000000000000000e+00
3.821888820000000000e+08 9.996997117996215820e-01
4.394567140000000000e+08 1.000000000000000000e+00
2.441611910000000000e+08 1.000000000000000000e+00
1.226135130000000000e+08 1.876232709037140012e-04
4.205456500000000000e+07 6.400483130164502654e-07
3.869610500000000000e+07 9.992713332176208496e-01
2.978129200000000000e+07 1.000000000000000000e+00
3.826266610000000000e+08 1.000000000000000000e+00
2.771039550000000000e+08 1.095050392905250192e-04
2.204599760000000000e+08 6.151740672066807747e-05
1.500302050000000000e+08 9.999997615814208984e-01
