# TIC Temperature[K] Metallicity Logg(CGS) u1 u2 
1.400684250000000000e+08 6.174000000000000000e+03 0.000000000000000000e+00 4.274040219999999834e+00 4.066745431180343040e-01 1.416259172422688339e-01
4.032246720000000000e+08 5.795290039059999799e+03 0.000000000000000000e+00 4.400000000000000355e+00 4.331205962798836961e-01 1.378289607006344952e-01
4.259344110000000000e+08 3.658000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.585990480578022943e-01 2.690373149758988891e-01
2.537555300000000000e+07 6.371000000000000000e+03 0.000000000000000000e+00 3.948070050000000109e+00 4.177710707802207435e-01 1.204876387917835634e-01
2.611366790000000000e+08 5.950000000000000000e+03 8.878389999999999893e-02 4.400000000000000355e+00 4.242699074219281608e-01 1.400512126580868988e-01
3.507437140000000000e+08 6.038000000000000000e+03 -4.099999999999999756e-01 3.960000040000000165e+00 4.076749715754499070e-01 1.333298308301555934e-01
2.703412140000000000e+08 6.409000000000000000e+03 0.000000000000000000e+00 4.200970169999999726e+00 3.936778827695877059e-01 1.417504454117066715e-01
4.259976550000000000e+08 4.813000000000000000e+03 -1.900000000000000022e-01 4.380000110000000113e+00 5.351841724421299018e-01 1.005079219983269767e-01
3.072108300000000000e+08 3.469000000000000000e+03 0.000000000000000000e+00 4.940100189999999891e+00 2.924871424342924131e-01 3.179290424689825700e-01
2.720861590000000000e+08 3.270000000000000000e+03 0.000000000000000000e+00 4.982419969999999587e+00 3.086291799213321529e-01 2.960696177350393699e-01
2.625304070000000000e+08 3.703000000000000000e+03 0.000000000000000000e+00 4.762290000000000134e+00 2.940169165326216860e-01 3.285063243883881712e-01
2.518489410000000000e+08 4.111000000000000000e+03 0.000000000000000000e+00 4.555280210000000274e+00 4.678539923650038568e-01 1.769133553933202041e-01
2.071411310000000000e+08 5.058000000000000000e+03 0.000000000000000000e+00 4.517610069999999922e+00 4.963586186517841004e-01 1.191350786076716683e-01
5.191282900000000000e+07 6.082000000000000000e+03 0.000000000000000000e+00 3.776540039999999987e+00 4.343587778971961244e-01 1.148456877553389321e-01
7.692370700000000000e+07 4.983000000000000000e+03 0.000000000000000000e+00 4.614449979999999840e+00 5.110034987705861509e-01 1.153575423436474512e-01
7.698977300000000000e+07 5.569000000000000000e+03 0.000000000000000000e+00 4.320650099999999938e+00 4.575985199863576991e-01 1.233325157680052186e-01
1.839792620000000000e+08 6.270000000000000000e+03 0.000000000000000000e+00 3.613320110000000085e+00 4.180152557051819429e-01 1.162899341253467861e-01
3.008715450000000000e+08 6.380000000000000000e+03 0.000000000000000000e+00 4.248519899999999794e+00 3.951746581807235037e-01 1.422167685576767315e-01
1.001008270000000000e+08 6.400000000000000000e+03 1.000000000000000056e-01 4.365829940000000242e+00 3.918489188171125348e-01 1.486340840017952858e-01
2.797413790000000000e+08 4.628529785159999847e+03 2.654870000000000146e-03 4.322390079999999912e+00 5.729734395186841800e-01 7.722884048325741324e-02
2.603042960000000000e+08 6.725000000000000000e+03 0.000000000000000000e+00 4.195320129999999814e+00 3.744079774608679578e-01 1.436398423364870225e-01
2.808307340000000000e+08 6.340299804690000201e+03 -4.600000100000000147e-01 4.179999829999999861e+00 3.948056541083556636e-01 1.368435579929256352e-01
2.788662110000000000e+08 6.054000000000000000e+03 0.000000000000000000e+00 4.394159789999999788e+00 4.120482301794987645e-01 1.451413139009309905e-01
1.667395200000000000e+08 6.038000000000000000e+03 -3.600000099999999814e-01 4.355130199999999618e+00 4.029907863943053559e-01 1.475959478459678009e-01
1.835326090000000000e+08 5.600000000000000000e+03 2.399999899999999964e-01 4.505010129999999613e+00 4.500308865133211267e-01 1.314790186968786689e-01
1.835374520000000000e+08 4.800000000000000000e+03 1.700000000000000122e-01 4.535270210000000191e+00 5.433894150170037740e-01 9.844559981945918969e-02
1.839852500000000000e+08 5.422000000000000000e+03 0.000000000000000000e+00 4.422229770000000393e+00 4.741833999837390401e-01 1.203111295934635727e-01
2.114389250000000000e+08 5.940000000000000000e+03 4.000000000000000083e-02 4.231579779999999680e+00 4.260796574149297578e-01 1.337192329471158236e-01
2.309828850000000000e+08 5.640000000000000000e+03 0.000000000000000000e+00 4.437029840000000114e+00 4.529533125818933081e-01 1.278512715061777272e-01
2.345191920000000000e+08 6.495000000000000000e+03 0.000000000000000000e+00 3.320480110000000096e+00 4.182223741362404712e-01 1.027109265807930327e-01
4.414627360000000000e+08 5.105000000000000000e+03 0.000000000000000000e+00 3.391819949999999917e+00 5.291933799823556051e-01 6.520254304277894875e-02
1.242186200000000000e+07 3.763000000000000000e+03 0.000000000000000000e+00 4.837389950000000383e+00 2.958948508447214465e-01 3.164077142677247934e-01
3.097923570000000000e+08 5.350000000000000000e+03 0.000000000000000000e+00 4.523469920000000144e+00 4.631990963220584678e-01 1.306895199418054987e-01
4.102149860000000000e+08 5.414000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 1.000000000000000056e-01 1.000000000000000056e-01
3.506186220000000000e+08 6.461799804690000201e+03 1.800000099999999881e-01 4.349999900000000252e+00 3.862794771194981713e-01 1.501677034707663838e-01
3.555099140000000000e+08 4.746000000000000000e+03 0.000000000000000000e+00 4.527460099999999876e+00 5.412648949866276649e-01 1.006061871412073094e-01
